Designator;Mid X;Mid Y;Layer;Rotation
BOOT;59.5;-13;Top;78
C1;20.09; 7.16;Top;90
C2;13.99; 8.94;Top;90
C3; 7.28; 1.32;Top;180
C4;14.75;-6.03;Top;270
C5;18.52;-6.81;Top;270
C6;22.58;-6.81;Top;270
C7;22.5; 0.30;Top;0
C8;25.8; 1.57;Top;0
C9; 7.28;-0.71;Top;180
C10;20.55;-6.81;Top;270
C11;21.11;-3.76;Top;0
C12;11.84; 8.94;Top;90
C13; 5.74; 3.86;Top;90
C14;30.76; 4.24;Top;0
C15;-4.64;-12.93;Top;90
C16;-1.6;-7.73;Top;180
C17;21.61;24.69;Top;0
C18;21.49;19.35;Top;0
C19; 2.51;47.93;Top;90
C20;18.76;44.18;Top;70
C21;32.74;35.1;Top;50
C22;42.77;21.79;Top;30
C23;47.64; 5.85;Top;10
C24;46.77;-10.8;Top;350
C25;40.26;-26.14;Top;330
C26;28.89;-38.33;Top;310
C27;14.03;-45.9;Top;290
C28;-2.51;-47.93;Top;270
C29;-18.76;-44.18;Top;250
C30;-32.74;-35.1;Top;230
C31;-42.77;-21.79;Top;210
C32;-47.64;-5.85;Top;190
C33;-46.77;10.8;Top;170
C34;-40.26;26.14;Top;150
C35;-28.89;38.33;Top;130
C36;-14.03;45.9;Top;110
C37; 0.00;57;Top;270
C38;36.64;43.66;Top;230
C39;56.13; 9.90;Top;190
C40;49.36;-28.5;Top;150
C41;19.5;-53.56;Top;110
C42;-19.5;-53.56;Top;70
C43;-49.36;-28.5;Top;30
C44;-56.13; 9.90;Top;350
C45;-36.64;43.66;Top;310
C46;-5.25;54;Top;270
C47;30.73;44.72;Top;230
C48;52.46;14.21;Top;190
C49;49.5;-22.73;Top;150
C50;23.31;-49.26;Top;110
C51;-13.69;-52.74;Top;70
C52;-44.25;-31.77;Top;30
C53;-54.29; 4.04;Top;350
C54;-39.02;38.03;Top;310
C55; 5.00;54;Top;270
C56;38.57;38.14;Top;230
C57;54.22; 4.55;Top;190
C58;44.25;-31.57;Top;150
C59;13.71;-52.59;Top;110
C60;-23.54;-49.16;Top;70
C61;-49.5;-22.68;Top;30
C62;-52.28;14.45;Top;350
C63;-30.93;44.86;Top;310
C64; 9.50;-33.25;Top;270
C65;-27.5;-18.75;Top;270
C66;-30.5;-19.25;Top;270
C67;-24.75;-2.5;Top;0
C68;-31.75;-2.25;Top;180
C69;-33.5;-16;Top;180
C70;10.7;-11.25;Top;270
C71; 8.50;-19.25;Top;90
C72;12.75;-9.25;Top;270
D1; 3.42;-27.97;Top;0
D2;33;-49.5;Top;40
D3;-58;-16.83;Top;15
D4;-26.54;-6.97;Top;270
D6; 0.00;48;Top;225
D7; 8.34;47.27;Top;215
D8;16.42;45.11;Top;205
D9;24;41.57;Top;195
D10;30.85;36.77;Top;185
D11;36.77;30.85;Top;175
D12;41.57;24;Top;165
D13;45.11;16.42;Top;155
D14;47.27; 8.34;Top;145
D15;48; 0.00;Top;135
D16;47.27;-8.34;Top;125
D17;45.11;-16.42;Top;115
D18;41.57;-24;Top;105
D19;36.77;-30.85;Top;95
D20;30.85;-36.77;Top;85
D21;24;-41.57;Top;75
D22;16.42;-45.11;Top;65
